City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,saskylakh,71.9167,114.0833,-8.5,86,100,6.07,RU,1681354557
84,hermanus,-34.4187,19.2345,12.67,66,73,3.05,ZA,1681355081
85,sechura,-5.5569,-80.8222,27.59,71,94,5.32,PE,1681355151
86,sao sepe,-30.1606,-53.5653,19.81,90,82,2.57,BR,1681355152
87,biu,10.6129,12.1946,23.44,19,0,3.13,NG,1681355152
88,roma,43.2128,-75.4557,19.93,65,0,1.54,US,1681354308
89,fehervarcsurgo,47.2935,18.2646,9.71,72,100,2.53,HU,1681355152
90,alice springs,-23.7,133.8833,27.75,30,100,4.63,AU,1681355154
91,padang,-0.9492,100.3543,29.03,66,91,1.18,ID,1681355154
92,esperance,-33.8667,121.9,23.89,47,3,4.6,AU,1681354575
93,luderitz,-26.6481,15.1594,14.22,66,68,4.86,NA,1681355154
94,glenwood springs,39.5505,-107.3248,15.45,80,75,5.14,US,1681355101
95,kudahuvadhoo,2.6708,72.8944,28.11,75,25,3.1,MV,1681355155
96,ende,-8.8432,121.6623,29.96,72,29,0.54,ID,1681355156
97,axim,4.8699,-2.2405,26.36,88,13,3.26,GH,1681355156
98,kabare,-2.4683,28.8242,15.23,94,100,0.31,CD,1681355156
99,zhigalovo,54.8097,105.1578,-1.26,43,42,2.8,RU,1681355156
100,marzuq,14.4,46.4667,19.56,74,62,2.91,YE,1681355157
101,puerto ayora,-0.7393,-90.3518,27.53,89,31,0.89,EC,1681355157
102,gibsons,49.3997,-123.5027,11.18,71,10,1.19,CA,1681355158
103,kuusamo,65.9667,29.1833,-8.98,92,75,2.57,FI,1681355158
104,cabatuan,10.8794,122.486,31.69,55,12,4.2,PH,1681355158
105,lompoc,34.6391,-120.4579,11.03,78,40,8.23,US,1681354456
106,port elizabeth,-33.918,25.5701,16.84,60,0,2.24,ZA,1681355159
107,hithadhoo,-0.6,73.0833,28.35,69,21,1.9,MV,1681355159
108,upernavik,72.7868,-56.1549,-13.45,91,83,1.55,GL,1681355080
109,makarska,43.2969,17.0178,10.78,73,28,4.51,HR,1681355160
110,dikson,73.5069,80.5464,-20.69,92,20,8.68,RU,1681355160
111,tuban,-6.8976,112.0649,29.0,72,100,1.39,ID,1681355161
112,fortuna,40.5982,-124.1573,8.7,73,7,4.02,US,1681354975
113,khasan,42.4308,130.6434,10.06,42,53,2.48,RU,1681355135
114,tessalit,20.1986,1.0114,27.14,10,99,2.95,ML,1681354625
115,svit,49.0601,20.2069,-1.12,93,75,1.03,SK,1681355162
116,mitzic,0.7821,11.549,19.8,98,47,1.18,GA,1681355163
117,mozarlandia,-14.7447,-50.5706,25.08,75,96,0.98,BR,1681355163
118,saint george,37.1041,-113.5841,23.3,20,0,4.12,US,1681355163
119,port alfred,-33.5906,26.891,17.54,57,54,3.75,ZA,1681355164
120,luganville,-15.5333,167.1667,29.88,69,84,2.61,VU,1681355164
121,tuktoyaktuk,69.4541,-133.0374,-19.0,71,40,5.66,CA,1681354574
122,bambous virieux,-20.3428,57.7575,24.01,85,8,2.06,MU,1681355094
123,praia da vitoria,38.7333,-27.0667,16.14,82,20,3.2,PT,1681355165
124,nhulunbuy,-12.2333,136.7667,25.34,88,75,5.66,AU,1681355156
125,yudong,29.385,106.5194,22.5,71,100,1.59,CN,1681355166
126,kalabo,-14.97,22.6814,18.42,87,87,2.12,ZM,1681355166
127,outjo,-20.1167,16.15,19.15,37,88,2.46,NA,1681355167
128,morgan city,29.6994,-91.2068,17.23,77,0,2.57,US,1681355167
129,west richland,46.3043,-119.3614,9.95,53,0,5.14,US,1681355168
130,khandyga,62.6667,135.6,-0.32,99,72,0.98,RU,1681355168
131,tasiilaq,65.6145,-37.6368,1.09,91,100,1.83,GL,1681354981
132,margate,51.3813,1.3862,6.6,82,100,2.24,GB,1681355169
133,cidreira,-30.1811,-50.2056,23.05,82,58,1.47,BR,1681355080
134,huntsville,34.7304,-86.5861,16.75,61,0,0.0,US,1681355160
135,pirenopolis,-15.8525,-48.9592,21.27,92,12,1.32,BR,1681355169
136,kapaa,22.0752,-159.319,26.99,85,75,7.72,US,1681355170
137,los llanos de aridane,28.6585,-17.9182,16.86,72,20,5.66,ES,1681354602
138,ribeira grande,38.5167,-28.7,16.54,94,92,4.92,PT,1681355170
139,madera,37.1666,-119.8343,15.24,72,4,1.9,US,1681355171
140,aksarka,66.5606,67.7975,-20.6,79,38,2.23,RU,1681354976
141,kushima,31.4583,131.2333,21.2,47,70,3.07,JP,1681355171
142,wanning,18.8003,110.3967,25.49,83,97,3.6,CN,1681354588
143,portland,45.5234,-122.6762,9.33,81,66,2.24,US,1681354640
144,tokur,53.1333,132.9,-4.4,69,100,4.03,RU,1681355172
145,sitka,57.0531,-135.33,4.94,75,100,6.17,US,1681354582
146,sao miguel do guama,-1.6267,-47.4833,23.32,97,97,1.14,BR,1681355173
147,hovd,48.0056,91.6419,-2.55,47,15,1.66,MN,1681354970
148,port hardy,50.6996,-127.4199,7.1,65,75,4.63,CA,1681355174
149,morant bay,17.8815,-76.4093,27.79,84,29,2.51,JM,1681354908
150,chipinge,-20.1883,32.6236,12.73,95,0,0.83,ZW,1681355174
151,faanui,-16.4833,-151.75,27.9,73,15,5.46,PF,1681355175
152,kishanpur,25.65,81.0167,33.61,16,4,2.03,IN,1681355175
153,grenaa,56.4158,10.8783,7.12,95,100,11.56,DK,1681355176
154,mount isa,-20.7333,139.5,31.87,25,94,4.63,AU,1681355176
155,bure,10.7,37.0667,18.47,44,99,1.06,ET,1681355177
156,maceio,-9.6658,-35.7353,23.69,94,40,1.03,BR,1681354820
157,hasaki,35.7333,140.8333,22.38,31,0,2.27,JP,1681354667
158,ussuriysk,43.7986,131.9508,11.9,17,72,2.68,RU,1681355178
159,kavieng,-2.5744,150.7967,28.43,69,99,2.87,PG,1681355178
160,jumla,29.2747,82.1838,16.71,27,24,0.84,NP,1681354424
161,cherskiy,68.75,161.3,-15.73,80,100,1.44,RU,1681355178
162,alofi,-19.0595,-169.9187,27.94,74,40,5.14,NU,1681355179
163,souillac,-20.5167,57.5167,25.51,86,6,1.72,MU,1681354603
164,hofn,64.2539,-15.2082,3.8,68,97,5.63,IS,1681355079
165,soubre,5.7856,-6.6083,23.43,93,6,1.2,CI,1681355180
166,bastrop,32.7562,-91.8724,17.68,85,0,0.0,US,1681355180
167,norman wells,65.282,-126.8329,-1.98,59,75,7.2,CA,1681354907
168,nemuro,43.3236,145.575,4.41,73,67,8.39,JP,1681354902
169,kodiak,57.79,-152.4072,5.73,45,0,5.66,US,1681355079
170,tanout,14.9709,8.8879,22.02,13,19,5.16,NE,1681354627
171,barabai,-2.5833,115.3833,30.52,68,51,1.49,ID,1681355182
172,palmer,42.1584,-72.3287,18.23,64,20,0.0,US,1681355182
173,yantal,56.8471,105.2542,-2.64,60,45,3.93,RU,1681355182
174,denizli,37.8402,29.0698,7.31,88,39,0.26,TR,1681355182
175,geraldton,-28.7667,114.6,24.23,57,75,4.63,AU,1681354616
176,thompson,55.7435,-97.8558,-0.91,86,100,3.09,CA,1681355004
177,sinazongwe,-17.2614,27.4618,21.87,79,80,2.04,ZM,1681355184
178,aklavik,68.2191,-135.0107,-17.0,81,100,2.76,CA,1681355184
179,ponta do sol,32.6667,-17.1,18.35,78,11,3.46,PT,1681355049
180,port blair,11.6667,92.75,30.75,58,8,0.61,IN,1681355185
181,vanimo,-2.6741,141.3028,28.15,76,83,2.52,PG,1681354890
182,victoria,22.2855,114.1577,26.35,80,97,6.71,HK,1681354987
183,itarema,-2.9248,-39.9167,24.43,84,48,3.11,BR,1681355026
184,jinchang,38.4953,102.1739,7.78,57,100,2.25,CN,1681355186
185,oranzherei,45.8476,47.5663,12.23,71,100,1.57,RU,1681355186
186,buraydah,26.326,43.975,15.25,28,98,3.18,SA,1681355119
187,nizwa,22.9333,57.5333,24.97,51,1,0.67,OM,1681355187
188,mosalsk,54.4881,34.9817,6.99,65,100,3.36,RU,1681355187
189,freeport,40.6576,-73.5832,24.53,49,0,3.13,US,1681354666
190,airai,-8.9266,125.4092,22.29,74,34,0.83,TL,1681355188
191,green valley,31.8543,-110.9937,26.6,17,76,7.48,US,1681355188
192,birao,10.2849,22.7882,28.34,29,26,4.41,CF,1681355189
193,marawi,7.9986,124.2928,29.38,47,0,0.72,PH,1681355190
194,charters towers,-20.1,146.2667,33.77,24,35,1.78,AU,1681354662
195,korla,41.7597,86.1469,14.17,22,56,1.5,CN,1681355190
196,guanica,17.9716,-66.908,26.1,80,59,2.54,PR,1681355191
197,ilheus,-14.7889,-39.0494,24.9,100,75,1.54,BR,1681355191
198,genhe,50.7833,121.5167,1.73,48,100,3.59,CN,1681355191
199,sept-iles,50.2001,-66.3821,7.29,61,20,3.09,CA,1681355148
200,corinto,37.9407,22.9573,10.5,61,0,1.95,GR,1681354947
201,nioki,-2.7167,17.6833,21.04,98,99,0.47,CD,1681355192
202,sala consilina,40.3912,15.5989,6.88,74,6,1.83,IT,1681355193
203,sorong,-0.8833,131.25,29.28,74,95,4.33,ID,1681355085
204,samarai,-10.6167,150.6667,28.66,75,86,3.72,PG,1681354609
205,bengkulu,-3.8004,102.2655,28.46,66,47,1.57,ID,1681355193
